key,file,category,year,authors,title,venue,url
cao2023mepognn,Cao_2023_MepoGNN_Metapopulation_GNN.pdf,epidemic,2023,Cao et al.,Metapopulation Graph Neural Networks: Deep Metapopulation Epidemic Modeling with Human Mobility,ECML-PKDD (extended),https://arxiv.org/pdf/2306.14857
rodriguez2023einn,Rodriguez_2023_EINNs.pdf,epidemic,2023,Rodriguez; Cui; Ramakrishnan; Adhikari; Prakash,EINNs: Epidemiologically-Informed Neural Networks,AAAI,https://arxiv.org/pdf/2202.10446
zheng2024heatgnn,Zheng_2024_Epidemiology-informed_GNN_Heterogeneity.pdf,epidemic,2024,Zheng et al.,Epidemiology-informed Graph Neural Network for Heterogeneity-aware Epidemic Forecasting,arXiv,https://arxiv.org/pdf/2411.17372
liu2024gnnreview,Liu_2024_Review_GNN_Epidemic_Modeling.pdf,epidemic,2024,Liu et al.,A Review of Graph Neural Networks in Epidemic Modeling,KDD (survey),https://arxiv.org/pdf/2403.19852
rodriguez2022datacentric,Rodriguez_2022_Data-Centric_Epidemic_Forecasting_Survey.pdf,epidemic,2022,Rodriguez et al.,Data-Centric Epidemic Forecasting: A Survey,arXiv,https://arxiv.org/pdf/2207.09370
lyu2026spatialepibench,Lyu_2026_SpatialEpiBench.pdf,epidemic,2026,Lyu; Turcan; Wilder,SpatialEpiBench: Benchmarking Spatial Information and Epidemic Priors in Forecasting,arXiv,https://arxiv.org/pdf/2605.06530
johansson2019dengue,Johansson_2019_Open_Challenge_Dengue_Forecasting.pdf,evaluation,2019,Johansson et al.,An open challenge to advance probabilistic forecasting for dengue epidemics,PNAS,https://europepmc.org/articles/PMC6883829?pdf=render
cramer2022ensemble,Cramer_2022_Ensemble_Forecasts_COVID19_Mortality.pdf,evaluation,2022,Cramer et al.,Evaluation of individual and ensemble probabilistic forecasts of COVID-19 mortality in the United States,PNAS,https://www.osti.gov/pages/servlets/purl/1893661
bracher2021wis,Bracher_2021_Evaluating_Epidemic_Forecasts_Interval_Format.pdf,evaluation,2021,Bracher; Ray; Gneiting; Reich,Evaluating epidemic forecasts in an interval format,PLOS Comput. Biol.,https://arxiv.org/pdf/2005.12881
dengue_nn_review2025,Dengue_2025_Neural_Networks_Systematic_Review.pdf,evaluation,2025,(medRxiv preprint),Neural networks for dengue forecasting: a systematic review,medRxiv,https://www.medrxiv.org/content/10.1101/2025.10.14.25338016v1.full.pdf
benjarattanaporn2026nma,Benjarattanaporn_2026_Dengue_Models_Network_Meta-Analysis.pdf,evaluation,2026,Benjarattanaporn; Adewo; Sutton; Lee; Dodd,Dengue Forecasting Models: A Systematic Review and Network Meta-Analysis of Relative Performance,medRxiv,https://www.medrxiv.org/content/10.64898/2026.02.18.26346534v1.full.pdf
dengue_hybrid_guangdong2025,Dengue_2025_Hybrid_DL_Mechanistic_Guangdong.pdf,evaluation,2025,(medRxiv preprint),A Hybrid Deep Learning-Mechanistic Modeling Framework for Dengue Transmission Dynamics in Guangdong China,medRxiv,https://www.medrxiv.org/content/10.1101/2025.10.04.25337267v1.full.pdf
yoon2019timegan,Yoon_2019_TimeGAN.pdf,augmentation,2019,Yoon; Jarrett; van der Schaar,Time-series Generative Adversarial Networks,NeurIPS,https://papers.nips.cc/paper_files/paper/2019/file/c9efe5f26cd17ba6216bbe2a7d26d490-Paper.pdf
esteban2017rcgan,Esteban_2017_RCGAN_TSTR.pdf,augmentation,2017,Esteban; Hyland; Ratsch,Real-valued (Medical) Time Series Generation with Recurrent Conditional GANs,arXiv,https://arxiv.org/pdf/1706.02633
brophy2021ganseries,Brophy_2021_GANs_in_Time_Series_Survey.pdf,augmentation,2021,Brophy et al.,Generative adversarial networks in time series: A survey and taxonomy,ACM Computing Surveys,https://arxiv.org/pdf/2107.11098
wen2021augsurvey,Wen_2021_Time_Series_Data_Augmentation_Survey.pdf,augmentation,2021,Wen et al.,Time Series Data Augmentation for Deep Learning: A Survey,IJCAI,https://arxiv.org/pdf/2002.12478
iwana2021augsurvey,Iwana_2021_Empirical_Survey_Time_Series_Augmentation.pdf,augmentation,2021,Iwana; Uchida,An Empirical Survey of Data Augmentation for Time Series Classification with Neural Networks,PLOS ONE,https://arxiv.org/pdf/2007.15951
iglesias2023augsurvey,Iglesias_2023_Time_Series_Augmentation_Taxonomy.pdf,augmentation,2023,Iglesias et al.,Data Augmentation techniques in time series domain: A survey and taxonomy,Neural Computing and Applications,https://arxiv.org/pdf/2206.13508
bandara2021gfmaug,Bandara_2021_Augmentation_Global_Forecasting_Models.pdf,augmentation,2021,Bandara; Hewamalage; Liu; Kang; Bergmeir,Improving the Accuracy of Global Forecasting Models using Time Series Data Augmentation,Pattern Recognition,https://arxiv.org/pdf/2008.02663
ansari2024chronos,Ansari_2024_Chronos.pdf,augmentation,2024,Ansari et al.,Chronos: Learning the Language of Time Series,TMLR,https://arxiv.org/pdf/2403.07815
kollovieh2023tsdiff,Kollovieh_2023_TSDiff.pdf,augmentation,2023,Kollovieh et al.,Predict Refine Synthesize: Self-Guiding Diffusion Models for Probabilistic Time Series Forecasting,NeurIPS,https://arxiv.org/pdf/2307.11494
shumailov2024collapse,Shumailov_2024_Curse_of_Recursion_Model_Collapse.pdf,augmentation,2024,Shumailov et al.,The Curse of Recursion: Training on Generated Data Makes Models Forget (Nature 2024: AI models collapse when trained on recursively generated data),Nature,https://arxiv.org/pdf/2305.17493
yang2021dir,Yang_2021_Deep_Imbalanced_Regression.pdf,augmentation,2021,Yang; Zha; Chen; Wang; Katabi,Delving into Deep Imbalanced Regression,ICML,https://arxiv.org/pdf/2102.09554
wang2019defsi,Wang_2019_DEFSI_Epidemic_Forecasting_Synthetic_Information.pdf,augmentation,2019,Wang; Chen; Marathe,DEFSI: Deep Learning Based Epidemic Forecasting with Synthetic Information,AAAI,https://ojs.aaai.org/index.php/AAAI/article/download/5023/4896
osthus2026synthetic,Osthus_2026_Synthetic_Genetic_Data_Epidemic_Forecasting.pdf,augmentation,2026,Osthus; Murph; Goldberg; Beesley; Fischer; Parikh; Castro,Leveraging synthetic and genetic data to improve epidemic forecasting,PLOS Computational Biology,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1014630&type=printable
dimarco2025italyaug,Dimarco_2025_Augmented_Data_Epidemic_Forecasting_Italy.pdf,augmentation,2025,Dimarco et al.,Augmented data and neural networks for robust epidemic forecasting: application to COVID-19 in Italy,arXiv,https://arxiv.org/pdf/2510.09192
fong2023covidaug,Fong_2023_Deep_COVID19_Forecasting_Data_Augmentation.pdf,augmentation,2023,Fong et al.,Deep COVID-19 Forecasting for Multiple States with Data Augmentation,arXiv,https://arxiv.org/pdf/2302.01155
